id,user_id,task_type,description,related_link,date_from,date_to,status,priority,created_at,updated_at,created_by,assigned_by,start_time,end_time,duration_minutes
f57b4427-7c70-451d-9891-5af9745f86c0,c1402d6f-183f-4afe-af13-6319784141e9,Cover Session,cover session outside team,,2026-02-07,2026-02-07,archived,3,2026-02-07 12:53:17.894414+00,2026-02-07 12:54:37.716158+00,,,,,,
e2aa7b1c-d06a-4ac7-ade4-c447f9c068af,aee27be4-c0ae-46a4-a946-97ac2b9f3eb3,Study Plan,Add study plan,,2026-02-02,2026-02-03,done,3,2026-02-02 17:04:35.954729+00,2026-02-02 17:05:22.321912+00,cfc3cfb7-43d9-4975-b99d-8a95ddbbd208,cfc3cfb7-43d9-4975-b99d-8a95ddbbd208,,,
6aec6806-90d9-4a8a-bfed-e9529bea26fe,cfc3cfb7-43d9-4975-b99d-8a95ddbbd208,One-to-One Meeting,test,,2026-02-08,2026-02-09,todo,3,2026-02-07 11:01:55.85813+00,2026-02-07 11:01:55.85813+00,,,,,,
3ae4582e-2379-418b-b1af-b8d297af78bf,10dddfcd-487c-4fdf-b1df-19952e29a06a,Team Meeting,introduction to the new task tracker web app,,2026-02-07,2026-02-07,done,3,2026-02-07 12:10:51.512823+00,2026-02-07 12:10:51.512823+00,,,,,,
151c0146-3c7e-471e-8099-63b3e064e674,c1402d6f-183f-4afe-af13-6319784141e9,Cover Session,cover session outside team,,2026-02-07,2026-02-07,archived,3,2026-02-07 12:50:54.304216+00,2026-02-07 12:55:28.216778+00,,,,,,
03388792-83a5-4711-b57b-dbdcddd711f4,aee27be4-c0ae-46a4-a946-97ac2b9f3eb3,Team Meeting,test,,2026-02-03,2026-02-12,todo,2,2026-02-03 10:29:03.832733+00,2026-02-07 12:12:13.016762+00,,,,,,
6baf5cfd-0507-4ed1-81e4-066d6557309a,c1402d6f-183f-4afe-af13-6319784141e9,Cover Session,cover session outside team,,2026-02-07,2026-02-07,archived,3,2026-02-07 12:51:56.769336+00,2026-02-07 12:55:33.482209+00,,,,,,
9942a9ae-b641-4a6b-af78-dc54dda802e3,aee27be4-c0ae-46a4-a946-97ac2b9f3eb3,One-to-One Meeting,"دخلت ميتنج مع امل طه اتكلمنا في واحد اتنين تلاتة",,2026-02-07,2026-02-07,done,2,2026-02-07 12:11:19.135022+00,2026-02-07 12:12:25.423932+00,,,,,,
222726ce-04bd-4728-b361-6871097eaf75,c1402d6f-183f-4afe-af13-6319784141e9,Cover Session,cover session outside team,,2026-02-07,2026-02-07,archived,3,2026-02-07 12:52:46.351566+00,2026-02-07 12:55:34.839558+00,,,,,,
4cb58477-7ae1-45de-acd9-1fda76e84c2f,52262890-c566-4bb3-b1b3-9ae52851f182,Cover Session,full day,,2026-02-07,2026-02-07,done,2,2026-02-07 12:23:48.791578+00,2026-02-07 20:10:03.00705+00,,,,,,
057a43af-2174-4139-86f0-c97fba9791c8,11dd4b0c-9af0-4901-a65a-252d72623af0,Other,quick report about T-12835 resignation case,,2026-02-07,2026-02-07,done,3,2026-02-07 13:04:00.442316+00,2026-02-07 13:04:12.475254+00,,,,,,
3b5a7915-5952-420e-8328-dd66532b14c5,8f33f62c-b915-40ed-8129-d2b60864e017,Team Meeting,"Team 7 mentors meeting under supervision of our team leader.",,2026-02-07,2026-02-07,done,3,2026-02-07 13:08:20.393909+00,2026-02-07 13:08:20.393909+00,,,,,,
89edcb4f-2cdb-4d86-b438-7aea870973cc,5e79744b-61bd-4698-9823-bc234914d767,One-to-One Meeting,"meeting with Nadeem as every thing deleted from his laptop",,2026-02-07,2026-02-07,done,3,2026-02-07 13:26:55.939979+00,2026-02-07 13:26:55.939979+00,,,,,,
e6fff1d1-68b4-4864-8255-c95cb454ff12,5585b896-3ea3-4908-8346-cbe6e16a092e,Cover Session,"Slot 7:30 PM S-108344",,2026-02-07,2026-02-07,done,3,2026-02-07 14:08:55.701269+00,2026-02-07 17:56:40.760661+00,,,,,,
249f5346-6f63-487f-84d1-6603c78d25f8,cea54012-b4d5-4643-8164-2e220e64ddf7,Team Meeting,"Introducing the new Task Tracking system to the mentors",,2026-02-07,2026-02-07,done,3,2026-02-07 14:01:32.498401+00,2026-02-07 14:01:32.498401+00,,,,,,
848fbf5a-299e-42ac-88e7-f59a8f947bc0,5585b896-3ea3-4908-8346-cbe6e16a092e,Cover Session,"Slot 3:00 PM S-223178",,2026-02-07,2026-02-07,done,3,2026-02-07 12:48:05.405895+00,2026-02-07 14:03:53.223998+00,,,,,,
5d4d838f-9005-414e-ba03-e46b5c47a4c8,cea54012-b4d5-4643-8164-2e220e64ddf7,Other,checking leaves on the system,,2026-02-07,2026-02-07,done,2,2026-02-07 14:02:04.726557+00,2026-02-08 09:35:54.359166+00,,,,,,
476a026e-a391-4988-bee9-8e9614a22acd,cea54012-b4d5-4643-8164-2e220e64ddf7,Other,"TLs weekly Meeting at 12 PM",,2026-02-07,2026-02-07,done,3,2026-02-07 14:06:06.43004+00,2026-02-07 14:06:06.43004+00,,,,,,
56266115-af23-4242-9cbc-074dfee460bc,ebf46837-d9bd-46c5-ab0d-f264e608dd7a,Cover Session,cover session at 3pm,,2026-02-07,2026-02-07,done,3,2026-02-07 14:07:30.959025+00,2026-02-07 14:07:30.959025+00,,,,,,
92e79f66-c0d4-4f1d-8cf3-ae16e1e9207a,5585b896-3ea3-4908-8346-cbe6e16a092e,Other,"Mentor team meeting at 2:00 PM with Team Leader. Announcement of the new task tracker dashboard.",,2026-02-07,2026-02-07,done,3,2026-02-07 14:08:00.040249+00,2026-02-07 14:08:00.040249+00,,,,,,
de5e158b-597b-4548-8beb-92f4a4a86a58,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Cover Session,cover session slot 3,,2026-02-07,2026-02-07,done,4,2026-02-07 14:22:14.242477+00,2026-02-07 14:22:14.242477+00,,,,,,
cee88ef5-0008-4c57-99cd-93c771bc2e63,5f193202-62b8-4a1a-96c2-8599bfd076ca,Cover Session,Full Day sessions,,2026-02-07,2026-02-07,done,3,2026-02-07 13:37:10.50214+00,2026-02-07 18:35:57.343282+00,,,,,,
5b28b3cc-4c7b-4fcf-8877-9daa9c499536,5585b896-3ea3-4908-8346-cbe6e16a092e,Cover Session,"Slot 4:30 PM S-329303",,2026-02-07,2026-02-07,done,3,2026-02-07 14:03:45.687921+00,2026-02-07 15:35:01.95451+00,,,,,,
d5a2ff4e-41b9-4a29-9560-48269aed824c,c0fc68a4-1170-4f8a-80f5-4ce7300dd458,Cover Session,Covering 5 sessions,,2026-02-07,2026-02-07,done,2,2026-02-07 12:21:27.263664+00,2026-02-07 22:12:22.160025+00,,,,,,
ef92440c-a61b-43ab-bbfc-4f7f137fa220,79c89dfb-eb95-4439-9640-625fa3ac3571,Check Flags,"T-6235 T-12669",https://zoom.us/rec/share/igpbN6rOY3ReBDMCMT83DocTC0Ux7lLE1Z-1mF09f91pBmQfk8dfqoJL_8Xibm2V.QevTd-kN_2M6I0Kg/////https://zoom.us/rec/share/6ubQteeJ3PesdMCSywyHg2UQyhtV9gT711kUcJiWO1N9EqWCX3XMrC7g5S3OKgcA.CvIu5sj6c8XwwSgg,2026-02-07,2026-02-07,done,2,2026-02-07 14:10:51.465153+00,2026-02-07 18:42:39.582754+00,,,,,,
cedcd8e7-da6b-44bf-b73d-5dc23bbc589b,c1402d6f-183f-4afe-af13-6319784141e9,Cover Session,cover  5 sessions outside team,,2026-02-07,2026-02-07,done,3,2026-02-07 12:53:38.893356+00,2026-02-07 19:49:19.064909+00,,,,,,
59e99150-157d-46b8-ab20-23f8c668c37a,d7c33a8a-1c83-4cc3-a1b9-72787c40d165,Cover Session,5 sessions,,2026-02-07,2026-02-07,done,4,2026-02-07 12:13:09.742246+00,2026-02-07 22:34:28.977467+00,,,,,,
d3c244d1-7d83-43c4-86c8-4f1bf1d4eda0,cea54012-b4d5-4643-8164-2e220e64ddf7,Other,No show validation,,2026-02-07,2026-02-07,done,3,2026-02-07 14:02:22.295525+00,2026-02-08 09:35:52.514349+00,,,,,,
d3d9109d-807e-4f76-b3d7-f67c767fdaf6,cea54012-b4d5-4643-8164-2e220e64ddf7,Other,"CS Cases Checking (2 Cases)",,2026-02-07,2026-02-07,done,3,2026-02-07 14:03:31.446806+00,2026-02-08 16:41:56.721665+00,,,,,,
56077947-2217-4dbd-8168-4c70e001a811,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Other,"manegarial tasks : sheet",,2026-02-07,2026-02-07,done,2,2026-02-07 14:21:39.463293+00,2026-02-08 17:40:02.856031+00,,,,,,
e0dd20d3-76fb-4062-8293-ec215c75c8a0,0af709a7-115e-4c62-9863-c0c078daf370,Cover Session,Cover slot 3 from my team,,2026-02-07,2026-02-07,done,2,2026-02-07 12:23:06.25964+00,2026-02-08 18:14:53.909664+00,,,,,,
0b5eb210-3bc9-467c-9ed1-55c85cfba9c2,c3251261-cbc7-4bba-a6e8-17a947cf74ae,Cover Session,"4:30 session assigned at 4:30 to be covered",,2026-02-07,2026-02-07,done,4,2026-02-07 14:36:16.865601+00,2026-02-07 14:36:16.865601+00,,,,,,
3d37dd20-0a16-4e63-b463-743538ea074b,2037f361-3570-4946-9b8d-e7d24189b59e,Team Meeting,"with T.L nada and anan",,2026-02-07,2026-02-07,done,3,2026-02-07 14:36:33.614579+00,2026-02-07 14:36:33.614579+00,,,,,,
c310a718-b25d-4505-9d15-5fa2ccb7c907,2037f361-3570-4946-9b8d-e7d24189b59e,Other,"sending slides as their is an access problem",,2026-02-07,2026-02-07,done,4,2026-02-07 14:38:10.725144+00,2026-02-07 14:38:10.725144+00,,,,,,
a1818cfa-028d-4381-9887-198c2da4b6b7,11dd4b0c-9af0-4901-a65a-252d72623af0,Other,"Mentors & Team leader meeting",,2026-02-07,2026-02-07,done,4,2026-02-07 14:53:12.167801+00,2026-02-07 14:53:51.277141+00,,,,,,
fd86eb35-d621-432c-bdd1-691e078c3b60,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Check Flags,"checking flag and send edu comment",,2026-02-07,2026-02-07,done,3,2026-02-07 12:52:03.45759+00,2026-02-07 14:58:35.255661+00,,,,,,
dcf25a42-04fc-4ac8-b495-27c3f68a0d96,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Cover Session,urgent session to complete session instead of tutor,,2026-02-07,2026-02-07,done,2,2026-02-07 15:32:04.396031+00,2026-02-07 15:32:04.396031+00,,,,,,
573a6802-a83b-4a99-b0fb-32016ed33dc7,7649f3a3-7473-4896-90e5-8afa734828e8,Team Meeting,new task Management dashboard,,2026-02-07,2026-02-07,done,2,2026-02-07 15:40:35.948242+00,2026-02-07 15:40:35.948242+00,,,,,,
928783ba-11d3-417a-a742-700e66824c39,5e79744b-61bd-4698-9823-bc234914d767,Check Flags,"Ahmed Mohamed Abd Elfattah Mohamed flag",https://zoom.us/rec/share/KKE_Id6ccGtjWKVRLs-tpvRZxIGUJ0TiMvmnjzXP8u0ASHL2PGvjz4YGD8wtbygH.C28eHa9n9ahDrvEe,2026-02-07,2026-02-07,done,2,2026-02-07 14:08:47.157059+00,2026-02-07 16:00:05.862488+00,,,,,,
e5944cad-5d02-4fb3-b4be-fe958d97f3fb,ebf46837-d9bd-46c5-ab0d-f264e608dd7a,Other,"cs case: i reviewed a session and made a report Session Engagemenet Complaint Way of Explaination ""The parent wants to complain because the instructor kept changing, which led to the student not understanding the last five sessions. The instructor changed four times, and the student wants the session repeated.",https://zoom.us/rec/share/ZaoL4l4edf-IK1RfNwb0osNO_-QY4KrrmlV2TNN0YeaCKHlpMxQK6ZARLWdyXu1K.kqysR52SQ49KWI82  Passcode: 7!rs6qYy,2026-02-07,2026-02-07,done,4,2026-02-07 16:27:39.055324+00,2026-02-07 16:27:39.055324+00,,,,,,
135e277c-2592-4fc1-a3e4-bf0eb1502f57,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,Session assigned by moderator,,2026-02-07,2026-02-07,done,3,2026-02-07 16:33:14.223414+00,2026-02-07 16:33:14.223414+00,,,,,,
13c6a432-e01d-432b-95e4-9c273460cc53,316e69c6-4baa-49c3-aec7-eef97b2756ee,Other,Update KPIs for Jan Month,,2026-02-07,2026-02-07,done,3,2026-02-07 16:34:03.382422+00,2026-02-07 16:34:03.382422+00,,,,,,
7abf54e1-0b97-431b-aeda-8b75eb7933f4,5585b896-3ea3-4908-8346-cbe6e16a092e,Session Review,"Mohamed Ashraf Elsayed MahmoudT-12228 Session Engagemenet Complaint Student Didn't understand the session The student told his mother that the teacher’s voice was low and unclear. Please review the session, and if there was any issue, we can do a recap or repeat the session again.S-218649L1: Hello UI\UX World M3: UI / UX -",https://zoom.us/rec/share/EloQ_Qhy2AiF5_Tt5-9BYbPhQqJC4Z37hc-w-bPje73CoZCXaP76x-ayNzLSI95_.LDkxTHquSMvdDYZF,2026-02-07,2026-02-07,done,3,2026-02-07 15:37:03.51238+00,2026-02-07 16:48:18.005106+00,,,,,,
1038686d-aeff-4a44-9958-63ad06045e4d,316e69c6-4baa-49c3-aec7-eef97b2756ee,Check Flags,Check flag for tutor Zainab,,2026-02-07,2026-02-07,done,3,2026-02-07 17:02:02.256125+00,2026-02-07 17:02:02.256125+00,,,,,,
7b1733ee-b705-468e-9ef2-07110c6fc37e,45620717-bd9b-45ba-8265-b85af82e7796,Team Meeting,"meeting with eng.Nada and eng.Anan",,2026-02-07,2026-02-07,done,2,2026-02-07 17:05:24.906335+00,2026-02-07 17:05:24.906335+00,,,,,,
eb268b8c-a0fa-4556-a846-01596739aae7,45620717-bd9b-45ba-8265-b85af82e7796,Other,checking the team tracking sheet,,2026-02-07,2026-02-07,done,2,2026-02-07 17:06:16.755063+00,2026-02-07 17:06:16.755063+00,,,,,,
783fc614-feac-4812-b879-8423e62a1d1c,11dd4b0c-9af0-4901-a65a-252d72623af0,Cover Session,"S-32835 Cover session at 6",,2026-02-07,2026-02-07,done,3,2026-02-07 14:54:59.714788+00,2026-02-07 17:12:59.021605+00,,,,,,
45ba109a-a3d1-4963-81ea-96c1eff86518,10dddfcd-487c-4fdf-b1df-19952e29a06a,Session Review,parent complaint verification,,2026-02-07,2026-02-07,done,3,2026-02-07 17:13:14.205474+00,2026-02-07 17:13:14.205474+00,,,,,,
1c610980-4279-4e3b-a022-e2599e9cbde0,10dddfcd-487c-4fdf-b1df-19952e29a06a,Cover Session,3 sessions,,2026-02-07,2026-02-07,done,2,2026-02-07 15:16:33.319101+00,2026-02-10 19:26:17.754061+00,,,,,,
60026a2a-db8c-4e8d-bac6-96bc78f88c02,c1402d6f-183f-4afe-af13-6319784141e9,Other,"Creating calendly meeting for Feb evaluation meetings with tutors",,2026-02-07,2026-02-07,done,4,2026-02-07 17:31:40.588213+00,2026-02-07 17:31:58.30726+00,,,,,,
26f47999-1061-481e-a5b6-7e8e77a3afb9,5e79744b-61bd-4698-9823-bc234914d767,Other,Jan KPIs,,2026-02-07,2026-02-07,done,3,2026-02-07 17:50:55.374358+00,2026-02-07 18:05:43.040517+00,,,,,,
49392537-8b93-4560-81ef-ccff6d10106d,316e69c6-4baa-49c3-aec7-eef97b2756ee,Study Plan,Check Study Plan for my team tutors,,2026-02-07,2026-02-07,done,3,2026-02-07 18:57:55.209022+00,2026-02-07 19:30:44.912095+00,,,,,,
e756875a-f5b0-40b7-921c-8967d1a64df9,59892d43-6f2f-46c8-b9d9-308764bc9778,Team Meeting,"meeting with Team Leader Ahmed Hisham discussing the task tracker new App",,2026-02-07,2026-02-07,done,2,2026-02-07 18:50:34.49541+00,2026-02-07 18:50:34.49541+00,,,,,,
ca52f1b2-c819-4d5f-b08d-c531d618b550,59892d43-6f2f-46c8-b9d9-308764bc9778,Other,Preparing reminder messages,,2026-02-07,2026-02-07,done,3,2026-02-07 18:51:16.148613+00,2026-02-07 18:51:16.148613+00,,,,,,
4c4f77c9-e86d-4e41-a2c8-38f3b669091c,8f33f62c-b915-40ed-8129-d2b60864e017,Cover Session,"i was informed with this cover session after it started(within the same time slot)",,2026-02-07,2026-02-07,done,4,2026-02-07 18:59:52.707902+00,2026-02-07 18:59:52.707902+00,,,,,,
048c7826-d711-429a-ad3e-b773e2af75fe,5e79744b-61bd-4698-9823-bc234914d767,Cover Session,Cover session,,2026-02-07,2026-02-07,done,4,2026-02-07 19:07:18.67726+00,2026-02-07 19:07:18.67726+00,,,,,,
334a7f58-0bcc-4c56-a69f-577ab88f4654,5e79744b-61bd-4698-9823-bc234914d767,Cover Session,Cover session,,2026-02-07,2026-02-07,done,4,2026-02-07 19:07:33.742639+00,2026-02-07 19:07:33.742639+00,,,,,,
ba58c994-f9a1-48ce-9227-472da1ed995e,11dd4b0c-9af0-4901-a65a-252d72623af0,Cover Session,S-221940 Urgent cover session at 730,,2026-02-07,2026-02-07,done,4,2026-02-07 17:47:51.545239+00,2026-02-07 19:37:05.140151+00,,,,,,
b389db12-45b8-4b5c-b26b-218f0aa602dd,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Bashar Firas Qabbesh S-6406 - Grade 11 - 12",,2026-01-06,2026-01-06,archived,3,2026-02-07 19:20:26.359231+00,2026-02-07 19:30:34.859241+00,,,,,,
a8283abe-bbc2-4c93-8c12-38d390d67ece,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Anas Mohamed Mostafa S-29710 - Grade 3 - 4",,2026-01-09,2026-01-09,archived,3,2026-02-07 19:22:43.394523+00,2026-02-07 19:30:31.328753+00,,,,,,
84d65213-66c5-4ba4-973d-f7cddd6f7b0b,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Abdelrahman Ahmed Hussein S-C2847 - Grade 11 - 12",,2026-01-06,2026-01-06,archived,3,2026-02-07 19:22:10.154182+00,2026-02-07 19:30:32.502592+00,,,,,,
f1ae7f94-e6a2-4b90-a89d-1be14f9a059a,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Aleine ahmed abdelsalam S-87857 - Grade 7 - 8",,2026-01-06,2026-01-06,archived,3,2026-02-07 19:21:38.589393+00,2026-02-07 19:30:33.238188+00,,,,,,
54889745-3f7c-4897-90f0-062b467b84b7,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Wafaa Allam S-32429 - Grade 9 - 10",,2026-01-06,2026-01-06,archived,3,2026-02-07 19:20:47.15984+00,2026-02-07 19:30:33.782141+00,,,,,,
4ad0b00d-6e00-4316-a180-260f6b5089c7,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Omar Maged Mohamad S-85922 - Grade 3 - 4",,2026-01-04,2026-01-04,archived,3,2026-02-07 19:19:52.383434+00,2026-02-07 19:30:35.246268+00,,,,,,
32ab15fc-1205-4fcf-9dcc-0907a40bc292,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Seilin Kahlous S-D4678 - Grade 7 - 8",,2026-01-04,2026-01-04,archived,4,2026-02-07 19:19:21.97243+00,2026-02-07 19:30:35.702626+00,,,,,,
51cff81a-0787-46c3-8aea-b9a3cf39398b,316e69c6-4baa-49c3-aec7-eef97b2756ee,Other,Check community for tutor replies,,2026-02-07,2026-02-07,done,2,2026-02-07 18:09:05.029277+00,2026-02-07 19:30:49.432693+00,,,,,,
0f01ee28-51fe-420b-908a-d91d564e15c5,5585b896-3ea3-4908-8346-cbe6e16a092e,Cover Session,"Slot 9:00 PM S-336619",,2026-02-07,2026-02-07,done,3,2026-02-07 15:35:57.145688+00,2026-02-07 20:04:19.61356+00,,,,,,
7959b8d2-7e2b-48ae-917d-8552c5bf9356,11dd4b0c-9af0-4901-a65a-252d72623af0,Other,"Supporting the tutors with the needed material and inquiries.",,2026-02-07,2026-02-07,done,4,2026-02-07 17:14:45.62598+00,2026-02-08 03:31:40.148541+00,,,,,,
d84159bc-8e9e-4b52-ba35-9bd2f19c16f1,59892d43-6f2f-46c8-b9d9-308764bc9778,Cover Session,covering the 5 sessions,,2026-02-07,2026-02-07,done,3,2026-02-07 18:48:10.051489+00,2026-02-07 20:12:04.452547+00,,,,,,
a5d4d61f-d8b2-4299-bd1a-2b4b8dbbe26b,ebf46837-d9bd-46c5-ab0d-f264e608dd7a,Other,"working on a training for the flow of the session to remind my team with the structure of the session",,2026-02-06,2026-02-10,in_progress,2,2026-02-07 16:28:54.767384+00,2026-02-07 20:12:22.77634+00,,,,,,
7663a82e-d075-413e-8fd4-0d71d9e09a25,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Cover Session,session slot 6,,2026-02-07,2026-02-07,done,2,2026-02-07 14:22:43.00598+00,2026-02-08 13:27:08.627663+00,,,,,,
a33fbe5d-bdcd-43b0-9c0a-0d9ce6ef666f,45620717-bd9b-45ba-8265-b85af82e7796,Other,Support Mentor Mohamed in creating a post to celebrate one of his tutors.,https://www.canva.com/design/DAHApxHecmE/Mct82vS76urm_Ox1H4GQkQ/edit,2026-02-07,2026-02-07,done,2,2026-02-07 17:14:48.360854+00,2026-02-08 16:32:36.133078+00,,,,,,
51784e54-561c-4598-bf61-4ed3bce84783,45620717-bd9b-45ba-8265-b85af82e7796,Other,"Editing the feedback for one of my team members",,2026-02-07,2026-02-07,done,2,2026-02-07 17:18:24.822133+00,2026-02-08 16:32:43.683721+00,,,,,,
253d1464-fe51-4686-98f5-db4d739a3894,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Sajed Ayman Khalf Ahmed S-238179 - Grade 3 - 4",,2026-01-25,2026-01-25,archived,3,2026-02-07 19:27:30.475813+00,2026-02-07 19:30:24.009818+00,,,,,,
9f318787-2328-4c6b-9fe2-9fc3e69f47e5,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Hamza Ahmed Zaki S-136770 - Grade 3 - 4",,2026-01-24,2026-01-24,archived,3,2026-02-07 19:26:47.766809+00,2026-02-07 19:30:26.305842+00,,,,,,
ba67595b-02ff-452f-bd9a-55f2657a1685,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Mohamed Abdallah Mohamed SalahElDein S-21777 - Grade 5 - 6",,2026-01-24,2026-01-24,archived,3,2026-02-07 19:25:42.043033+00,2026-02-07 19:30:27.538731+00,,,,,,
9f19d69a-af39-40a8-a7bc-4b9dccd8505d,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Asyeah Ahmed S-32631 - Grade 7 - 8",,2026-01-17,2026-01-17,archived,3,2026-02-07 19:23:50.342835+00,2026-02-07 19:30:30.195655+00,,,,,,
ea20166b-1307-4294-aa17-582f2411cb68,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Omar Maged Mohamad S-85922 - Grade 3 - 4",,2026-01-25,2026-01-25,archived,3,2026-02-07 19:27:11.718405+00,2026-02-07 19:30:25.647833+00,,,,,,
a4a64998-cc0d-4b45-b8ac-af6b77016841,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Selim Ali Mahmoud S-D2743 - Grade 7 - 8",,2026-01-17,2026-01-17,archived,3,2026-02-07 19:24:36.408328+00,2026-02-07 19:30:29.770327+00,,,,,,
9071c58a-284e-4c2a-98df-1f3277e534ef,316e69c6-4baa-49c3-aec7-eef97b2756ee,Cover Session,"Adam Ibrahim Abbas S-346059 - Grade 9 - 10",,2026-01-24,2026-01-24,archived,3,2026-02-07 19:26:18.744436+00,2026-02-07 19:30:26.926109+00,,,,,,
